date,spent,recevied
2021-09-20,742.1,1578.51
2020-11-04,253.14,3115.35
2016-04-11,2010.42,2236.44
2021-11-28,2706.59,
2020-01-17,936.71,1667.22
2019-05-02,3700.87,1971.98
2023-01-21,1771.88,337.37
2019-11-20,3760.55,3375.68
2017-01-16,1148.24,118.33
2020-06-08,,4567.14
2023-05-18,2985.44,3397.73
2018-04-15,773.92,872.36
2023-05-02,1403.92,1530.52
2019-01-13,2934.06,3577.32
2016-08-29,1664.37,2743.56
2016-06-14,1182.59,3210.46
2017-04-26,,1956.76
2016-06-04,,627.98
2018-06-19,3714.66,2641.49
2016-04-22,775.49,94.75
2020-05-21,3463.84,3730.53
2020-02-10,,4135.12
2023-03-02,479.84,4279.61
2019-06-23,591.55,101.38
2022-02-14,961.67,4842.96
2018-02-06,2157.68,3515.4
2024-10-20,3350.83,775.36
2024-07-03,3147.6,4209.87
2023-08-24,,1096.46
2023-08-16,726.37,4998.71
2016-03-05,555.71,1091.85
2020-06-12,3654.46,4674.0
2019-12-17,1416.91,3359.56
2021-09-18,1166.13,4338.55
2016-01-07,3614.55,4800.42
2016-11-16,377.17,3143.08
2023-10-13,2698.83,
2018-04-23,2219.75,4621.94
2021-07-15,3391.97,4384.58
2017-08-10,2345.45,338.45
2024-04-19,1329.12,4497.41
2023-05-16,932.39,2257.94
2017-05-03,420.83,1679.48
2019-04-01,3049.71,2083.01
2017-07-05,3411.76,3447.3
2024-09-26,819.6,963.76
2016-02-02,3644.7,4799.73
2021-04-25,1918.87,2706.45
2023-11-02,835.8,4768.52
2018-06-05,1377.03,694.23
2024-09-11,,455.32
2021-10-24,2045.31,1470.09
2019-10-28,1063.91,552.36
2021-06-22,3055.13,1595.43
2017-09-06,3581.83,4023.98
2023-07-31,1732.48,4438.62
2016-07-19,2007.9,1157.01
2018-01-13,315.59,156.35
2017-06-01,1527.41,3837.17
2020-02-04,,2564.25
2020-11-20,2960.14,3174.81
2024-09-28,321.79,233.85
2021-01-30,580.77,232.44
2022-05-16,1513.16,3817.64
2023-08-30,2799.25,2342.07
2016-02-25,2303.58,231.11
2020-08-09,,3315.14
2024-07-07,2430.68,1119.19
2020-09-08,255.94,2857.37
2022-06-10,2118.73,3895.15
2017-11-01,2176.15,3720.13
2019-03-17,2786.98,4454.45
2023-05-15,3523.87,4569.16
2016-06-29,3818.23,4471.06
2018-12-05,376.1,4054.61
2016-11-01,375.98,2474.31
2017-03-20,367.9,962.41
2018-11-05,547.29,1916.3
2023-08-27,3330.85,3106.07
2023-07-27,,3841.33
2022-07-28,2455.79,2080.24
2020-06-04,1594.63,4923.8
2018-12-02,,272.57
