timeStamp,Temperature,humidity,Location
2023-09-09,34.09,18.34,Nancaicun
2024-02-05,27.01,72.97,Banjar Lalangpasek
2022-12-06,31.65,60.37,Gegu
2023-11-09,21.22,,Rejasa Kaja
2024-01-31,0.72,93.84,El Real
2023-07-17,56.65,98.92,Olds
2022-04-01,10.81,27.38,Neepawa
2024-10-07,25.77,47.72,Shenwan
2023-12-11,51.85,,Fornelos
2022-11-29,9.63,58.59,Zhouzhuang
2024-09-06,42.11,83.85,Wucheng
2023-01-06,7.77,16.59,Uničov
2023-12-26,27.01,,Mandeman Daya
2024-07-17,9.35,51.31,Saint Paul
2022-04-19,40.19,87.37,Manicaragua
2024-08-11,47.43,41.69,Methven
2024-11-20,7.58,65.62,Vilhena
2024-07-09,26.68,,Évreux
2023-08-10,50.73,39.64,Qionghu
2023-08-21,13.34,3.19,Pasirmanggu
2024-05-14,40.77,56.4,Chicago
2024-12-03,47.95,43.32,Matsue-shi
2024-11-15,22.07,59.71,Hässelby
2022-03-30,5.44,14.78,Nancaicun
2022-06-23,9.83,35.16,Wuxi
2024-03-26,55.86,29.82,Gon’ba
2023-01-31,53.86,42.28,Venilale
2024-09-02,57.79,27.0,Hukeng
2022-03-10,,17.21,Duas Igrejas
2022-08-16,26.69,43.84,Zevgolateió
2022-09-17,27.27,75.2,Zharkovskiy
2024-04-28,29.26,48.46,Manizales
2023-10-12,33.25,,Bozoum
2024-12-08,35.93,28.73,Baibu
2023-01-24,30.56,87.24,Ngerengere
2022-11-12,41.32,91.62,Stare Juchy
2022-10-28,20.42,73.22,Longxing
2022-05-06,49.44,91.98,Garland
2024-10-31,35.02,61.11,Tsuma
2024-01-17,41.33,59.15,Zhitan
2022-03-23,59.21,68.72,Burgau
2023-05-01,32.58,84.57,Sukonolo Krajan
2022-08-30,30.23,36.32,Shuanghejiedao
2022-09-30,36.87,44.25,Caraga
2024-10-26,49.34,78.7,Santa Fe
2024-10-08,6.17,24.24,Ketapang
2023-09-19,31.11,29.03,Bastos
2023-05-01,,,Mounlapamôk
2024-02-11,18.5,38.57,Arcos
2022-03-18,,,Poncokusumo
2024-10-14,25.25,,Motala
2023-09-03,13.57,60.35,Codajás
2022-07-20,43.13,47.96,Aleg
2023-10-23,4.0,22.23,Fenchen
2023-07-18,31.67,,Banjar Petak
2023-03-14,16.37,1.9,Sangesi
2023-09-26,59.04,83.85,Macon
2023-02-11,34.68,88.67,Chemin Grenier
2022-05-04,25.74,,Kalchevaya
2024-01-18,49.63,85.65,Chosica
2023-05-10,13.14,31.47,San Antonio
2024-10-16,14.52,93.79,Ma‘bar
2022-04-26,11.8,25.32,Yanjiang
2022-05-26,12.9,73.14,Kochevo
2023-05-17,47.21,,Zapolyarnyy
2024-09-30,12.96,48.7,Arcueil
2024-01-12,50.61,,Betong
2023-10-20,6.35,15.64,Burujul
2024-09-27,43.56,93.64,København
2022-03-20,45.67,57.22,Sankanan
2023-10-13,42.8,65.07,Bula
2024-04-02,16.41,,Niaohe
2024-09-07,25.28,22.96,Chalan Pago-Ordot Village
2023-12-02,21.29,44.66,Guéret
2023-05-05,30.11,25.49,Macapsing
2023-10-09,9.41,15.53,Bali
2024-02-14,30.96,5.46,Lijia
2022-10-17,41.8,67.62,Nakhon Pathom
2022-11-02,8.1,12.45,Burrel
2022-12-15,4.6,,Xumu
2024-04-28,12.5,,Lewograran
2023-06-27,12.74,31.48,Sernovodsk
2024-07-30,26.19,79.06,Mevo horon
2024-03-03,7.44,55.53,Suvorovo
2024-02-18,55.13,,Kuragaki-kosugi
2023-10-15,29.52,8.78,Xipi
2024-06-24,13.46,10.89,Mella
2024-02-02,31.19,88.15,Jatipamor
2023-01-29,20.32,52.05,Bedadung Kulon
2023-08-11,44.15,44.69,Saint Catherine
2023-12-31,28.83,46.64,Barrancas
2024-02-21,1.72,93.15,Shuigou
2023-05-18,6.74,92.26,Caikouji
2023-04-25,48.51,61.34,Oenpeotnai
2022-09-06,37.16,35.47,Daitōchō
2022-11-11,20.32,,Liboran
2023-01-22,37.91,,Pavlovka
2024-09-20,22.32,,Zhenchuan
2023-06-25,29.05,,Kan’onjichō
2022-07-10,9.19,32.78,Hirosaki
2022-04-14,59.4,54.66,Progreso
2022-05-04,48.37,,Phoenix
2022-03-01,25.36,,Baofeng
2023-12-24,12.62,67.38,Yantak
2023-06-27,0.29,52.7,Strömstad
2023-02-24,48.36,68.23,Örebro
2022-07-02,55.2,58.0,Telengsari
2023-01-01,56.52,38.38,Sendangagung
2023-08-02,17.83,99.75,Maji
2022-11-15,13.88,14.26,Savannah
2023-09-02,44.35,21.32,Dagua
2024-03-21,22.79,48.23,‘Irbīn
2024-03-30,8.88,71.28,Krajan
2023-02-15,29.58,22.01,Capim Grosso
2024-09-04,54.97,70.01,Kampungbaru
2023-06-18,0.51,,Bailuquan
2023-11-27,39.36,43.76,Haradzishcha
2024-03-12,52.64,,Praszka
2024-01-05,24.38,53.63,Volokolamsk
2022-06-27,55.11,,Ringim
2022-04-06,11.15,88.13,Lichengdao
2024-02-14,16.44,97.42,Zhangdun
2024-02-10,29.02,98.35,Rebrikha
2022-12-27,48.47,67.22,Piedade
2024-01-20,10.02,86.86,Los Dos Caminos
2024-07-06,25.45,27.15,Hongqi Yingzi
2024-09-05,21.15,67.23,Sabugo
2022-11-16,55.76,17.26,Strasbourg
2024-07-11,26.72,1.79,Garcia Hernandez
2023-11-10,48.29,27.58,Aveleda
2022-09-26,48.2,50.88,El Matama
2024-06-13,27.38,23.54,Vitória
2023-06-20,35.38,76.57,Gävle
2023-12-02,0.7,78.01,Matatiele
2022-06-16,46.5,32.97,Insrom
2024-03-31,24.4,66.66,Kŭlob
2022-07-14,38.37,15.05,Málaga
2022-06-23,,75.55,Novyy Svit
2022-09-21,51.15,39.02,Jangas
2024-10-04,58.84,4.0,Ilha Solteira
2023-03-04,33.5,,Budziszewice
2024-10-29,45.97,64.82,Dos Hermanas
2023-11-07,59.76,,Sarishābāri
2024-05-27,2.09,81.56,Fort Erie
2024-02-03,59.93,,Popovi
2023-02-03,12.84,47.82,Mafa
2023-02-20,32.6,5.48,Galán
2023-04-25,32.87,16.0,Lupao
2023-11-20,43.52,5.35,Šalovci
2023-05-15,0.39,,Perth
2022-05-08,48.19,5.79,Chicago
2024-08-31,10.88,61.23,Xiaoxi
2023-04-17,20.61,50.97,Khulm
2024-06-06,3.68,47.16,Velikiye Luki
2024-02-13,6.97,,Senggapi
2023-07-29,58.2,94.61,Juiz de Fora
2024-10-22,5.26,9.16,Washington
2024-11-09,41.8,,Kisii
2023-12-27,1.26,,Bergen
2024-04-10,57.58,,Bodø
2022-09-30,22.11,5.17,Taganrog
2022-11-27,,23.51,Boawae
2023-03-23,27.7,30.6,Rāipur
2022-08-04,10.9,,Uchaly
2024-06-02,44.5,34.11,Huaquillas
2023-07-29,31.48,22.6,Cigedang
2024-12-10,43.8,49.71,Yantai
2024-11-27,20.13,80.37,Wa’erma
2024-02-19,28.75,10.4,Donabate
2023-03-26,8.76,89.85,Tunjë
2023-06-27,14.47,29.88,Xiaoying
2024-02-02,50.6,65.18,Enköping
2022-06-30,32.41,35.27,Talmest
2024-09-06,50.97,5.3,São Gonçalo do Amarante
2024-10-11,6.78,97.08,Qiaosi
2023-05-12,13.9,26.98,Jenzan
2024-01-06,39.61,,Maungatapere
2024-06-25,40.58,66.18,Décines-Charpieu
2024-05-13,7.06,3.76,Thị Trấn Thuận Châu
2023-12-06,50.77,82.51,Bowen Island
2023-04-05,51.54,8.06,Jin’e
2023-09-30,54.0,94.39,Modis
2022-05-10,42.02,48.89,Bauru
2024-10-29,36.77,15.62,Černožice
2023-03-15,28.08,74.24,Chernyshevsk
2024-10-06,51.6,30.69,Nnewi
2022-11-12,38.67,,Dzikowiec
2023-09-20,8.48,29.2,Gap
2024-01-18,17.72,,Pasirjengkol
2022-03-29,19.06,38.27,Philadelphia
2024-09-14,52.48,75.1,Hesi
2022-06-03,59.6,,Campbellton
2024-09-17,46.15,7.62,Pendembu
2024-06-26,38.71,,Krzęcin
2023-02-20,50.97,92.52,København
2023-06-09,16.55,,Kafue
2023-03-02,18.09,95.76,Hīsh
2024-07-26,29.16,77.35,Zhongxiao
2024-03-20,17.78,76.18,Bateria
2023-11-03,20.18,,Sanmiaoqian
2024-02-17,2.76,72.59,Yakovlevo
2023-06-30,24.81,,Uusikaupunki
2024-01-28,16.65,29.95,Shanmei
2022-06-13,36.07,,Guogan
2022-10-14,22.56,16.17,Ruoqiang
2023-06-13,27.78,,Arroio do Meio
2022-11-27,22.77,2.98,Black River
2024-10-11,20.45,50.27,Valence
2022-12-01,14.71,85.21,Angers
2022-08-29,28.78,,Chemnitz
2024-10-11,26.04,,Los Córdobas
2022-08-20,41.6,,Mao
2022-06-10,47.51,,Sukawaris
2022-12-04,38.65,68.66,Tegalsari
2023-05-13,43.52,,Gaoxiang
2022-09-09,29.16,9.67,Mississauga
2022-08-10,36.55,93.02,Santi Suk
2023-09-25,59.88,13.56,Villa Concepción del Tío
2023-01-11,13.19,,Luangwa
2024-04-04,36.02,33.0,Rostokino
2024-07-03,39.21,49.44,Glinojeck
2024-04-08,26.98,44.79,Hengjing
2024-03-09,4.95,27.51,Putat Lor
2023-02-12,,33.32,Gunung
2022-05-31,38.15,41.75,Phetchabun
2023-10-16,31.91,86.39,Linköping
2023-01-02,22.29,45.43,Baishan
2024-10-16,27.66,54.68,Kuangshan
2023-05-26,57.8,47.16,Komi
2022-08-30,8.31,17.59,Slavyanovo
2022-05-23,40.61,28.89,Brignoles
2024-05-14,32.49,45.99,Gechuan
2023-08-30,9.27,99.79,Sunzhen
2023-12-03,58.37,4.34,Sanxi
2022-09-08,14.8,22.42,Qutun
2022-03-07,34.78,24.52,Kampungmasjid
2024-03-24,18.39,57.79,Lilongwe
2024-07-17,30.35,16.21,Tha Ruea
2022-10-24,17.25,45.64,Isdalstø
2023-01-06,36.89,17.53,Lyamino
2023-05-22,6.16,96.5,Pedreira
2023-09-12,5.72,63.7,San Fernando de Monte Cristi
2023-10-10,58.16,82.02,Labansari
2023-08-02,55.53,55.94,Rambatan
2022-03-12,7.3,85.47,San Fernando de Atabapo
2023-09-08,10.22,33.75,San Vicente
2023-10-07,19.17,27.58,Perez
2024-12-09,44.2,,La Hacienda
2024-03-06,19.6,14.69,Chum Phuang
2022-10-23,52.46,45.74,Kvartsitnyy
2023-06-09,23.1,56.5,Iniö
2022-07-18,39.33,36.56,Eguia
2022-09-06,48.78,75.69,Puutuga
2024-12-10,36.47,87.81,Buganda
2022-05-06,26.08,41.24,Tianxin
2022-09-23,49.97,30.65,Baojia
2024-03-13,55.92,84.29,Hafrsfjord
2024-05-10,4.82,81.41,Boise
2024-04-18,23.54,,Otan Aiyegbaju
2022-10-28,6.14,35.29,Yongqin
2022-12-22,23.39,80.19,Pasacao
2023-07-26,42.04,46.78,Tiandian
2022-05-19,16.55,19.17,Alkmaar
2024-01-08,,99.07,Pancur
2024-01-14,3.23,,Tangdukou
2024-02-17,24.23,27.4,Baiquan
2023-01-12,46.07,8.5,San Felipe Old
2023-11-11,29.91,,Palana
2023-06-02,20.37,70.41,Corail
2022-12-01,0.78,54.15,Mount Pearl
2022-05-29,25.06,,Nowshahr
2022-04-29,15.42,1.92,Liuhe
2024-07-27,21.8,41.16,Qiaotou
2022-08-01,47.29,16.94,Goranboy
2024-10-06,10.81,,Dagang
2024-12-08,32.81,,Dean
2023-11-04,53.09,37.35,Shchelkovo
2022-05-28,47.47,61.71,Ciénaga de Oro
2024-02-17,42.83,38.34,Krajan Pundungsari
2022-11-26,56.46,71.24,Verkhnevilyuysk
2024-09-26,37.21,70.56,Huddinge
2024-10-12,12.8,69.75,Chernogorsk
2022-04-23,45.68,76.97,Livramento
2024-02-12,9.58,87.74,Mentaraman Satu
2023-01-24,32.3,59.07,Miringa
2022-12-03,50.18,,La’ershan
2024-06-26,6.67,,Kazo
2023-03-03,17.69,75.7,Komsomolets
2024-08-19,24.53,45.22,Muang Long
2022-04-03,52.48,13.66,Karagandy
2022-11-15,57.19,93.21,Luhačovice
2022-04-03,43.59,41.06,Jagong
2022-06-22,11.31,,Javhlant
2023-01-07,20.45,64.51,Belköl
2024-11-18,51.26,,Bouaké
2023-02-25,30.64,28.03,Frankfort
2024-01-07,24.39,,Ortega
2023-01-29,11.26,14.41,Norfolk
2023-09-22,5.39,2.64,Zeleneč
2024-05-25,50.98,17.26,Kurumoch
2023-02-04,38.07,88.1,Guanchi
2023-05-20,45.97,24.23,Dampek
2023-10-31,,,Xipi
2024-02-08,43.08,7.24,Rongdoi
2024-09-11,35.19,83.39,Fāraskūr
2024-09-28,54.39,83.57,Shīnḏanḏ
2023-02-03,3.26,72.48,San Mateo
2022-04-15,40.53,57.17,Cocachacra
2023-11-21,55.42,82.31,Wysoka
2023-10-24,14.1,58.25,Thị Trấn Văn Quan
2022-04-04,,,Rogóźno
2024-10-15,26.22,90.47,Senovo
2023-07-09,1.85,13.41,Wangying
2023-05-08,3.42,73.73,Galleh Manda
2023-05-28,39.09,80.06,Rudnogorsk
2022-08-23,48.03,93.35,Banjarkemuning
2023-10-22,34.17,59.34,Biris Daja
2024-01-06,37.46,66.15,Borgustanskaya
2023-02-14,12.43,37.02,Jiujie
2022-12-20,24.92,20.09,Brea Pozo
2022-03-03,8.16,32.94,Galesong
2023-01-27,0.64,7.06,Marjayoûn
2024-09-29,6.18,68.34,Zephyrhills
2022-09-18,17.19,14.97,Fuzhai
2024-08-30,8.32,16.34,Cikembar
2022-07-11,58.1,51.52,Sanguansi
2024-12-09,48.46,,Xunhe
2024-03-23,13.21,38.64,Lazaro Cardenas
2024-05-19,58.09,7.16,Łąka Prudnicka
2023-02-03,54.46,80.37,Sagay
2023-02-06,36.46,69.3,Lees Summit
2023-05-29,43.49,69.03,Wuhu
2022-03-12,39.27,16.6,Ai Tu
2023-07-22,23.69,71.1,Soeng Sang
2024-03-05,35.29,32.79,Frashër
2023-03-14,50.81,20.49,Puqian
2023-07-09,41.11,51.59,Babasakhib
2023-05-22,37.37,88.3,Shuangmiao
2024-05-21,21.44,,Obudovac
2023-02-22,1.02,16.71,Kurumoch
2022-08-19,39.25,54.14,Radzyń Chełmiński
2022-10-30,9.14,,Arma
2023-09-23,3.53,,São Pedro
2023-05-03,14.76,92.3,Cimarelang
2022-12-30,23.09,10.85,Berea
2023-01-29,52.92,,Kuče
2022-11-26,50.7,22.94,Mirador
2024-02-27,,23.24,Marseille
2023-12-09,32.77,55.56,Tiên Lãng
2024-06-22,47.76,,Miranda
2024-03-31,3.12,9.61,Huangzhai
2024-09-04,,,Nanshui
2022-11-21,48.12,82.77,Knysna
2022-12-09,28.9,38.92,Shibirghān
2023-02-13,10.62,54.06,Jamundí
2023-04-18,34.53,1.67,Spitak
2023-10-22,46.21,86.35,Kangding
2024-10-06,57.56,96.26,Rio Grande da Serra
2023-05-30,31.98,65.03,Tianxin
2024-07-11,38.57,36.2,Kawengan
2024-06-02,30.9,93.34,Bielawa
2024-09-25,57.31,30.15,Rio das Ostras
2022-04-08,45.35,91.68,Milanówek
2024-01-19,35.11,5.52,Lampari
2024-11-15,59.5,,Haarlem
2023-01-28,57.64,98.84,Medellin
2023-01-26,22.25,1.9,Owczarnia
2023-07-27,54.58,40.86,Korsun’-Shevchenkivs’kyy
2024-04-29,41.75,,Salvacion
2022-11-24,1.79,87.28,Bantacan
2022-06-12,12.68,51.4,Chouto
2023-01-30,57.73,58.01,Tân Hiệp
2023-03-17,21.44,75.17,Salām Khēl
2023-01-27,6.22,59.14,Benger
2022-09-17,59.42,73.24,Anyang-si
2024-05-26,2.48,35.44,Coruripe
2024-04-16,3.03,90.01,Carabamba
2023-05-10,16.55,59.43,Một Ngàn
2024-04-25,33.5,91.55,Omboué
2024-11-25,44.72,61.53,Randudongkal
2024-09-07,47.82,62.27,Dalmacio Vélez Sársfield
2022-07-30,52.2,38.99,Bangkle
2022-09-16,14.09,30.99,Ochakovo-Matveyevskoye
2022-06-17,47.67,45.37,Timrat
2023-12-15,11.14,5.24,Czeremcha
2024-05-15,30.31,,Wa
2024-11-28,26.0,,Baisha
2024-07-01,11.27,8.01,Pakemitan
2024-07-13,3.88,5.88,Itaperuna
2022-09-04,17.08,6.05,Sagay
2024-07-01,46.93,,Gubuk Daya
2024-09-01,43.31,66.32,Kímolos
2022-04-16,23.54,84.07,Junzhuang
2024-11-12,36.52,70.28,Xiacang
2024-07-12,1.58,4.94,Lindi
2024-10-07,24.77,96.22,Mayo
2022-04-06,46.53,5.53,Lelkowo
2023-12-23,40.31,,Nazrēt
2023-11-27,0.19,33.02,Corpus Christi
2024-09-03,,26.47,Patiya
2022-04-21,19.95,72.97,Shirokaya Rechka
2022-04-20,18.68,93.51,Muan
2023-11-14,58.21,87.53,Seogeom-ri
2023-04-06,58.47,30.14,Anning
2024-04-30,58.75,77.47,Shipaidong
2024-01-16,53.56,,Bardaï
2024-09-03,56.58,1.61,Sankoutang
2024-06-15,59.07,4.81,Aranas Sur
2024-08-22,17.98,,Qinghua
2022-12-11,13.69,95.55,Izobil’nyy
2023-10-03,28.43,22.17,Kohāt
2024-04-02,36.1,,Mailag
2023-01-04,27.84,35.48,Menggala
2023-05-28,29.58,94.28,Papër
2023-01-24,7.74,60.45,Gävle
2024-02-22,35.46,,Zhangjiayuan
2023-02-22,40.73,,Mistrató
2023-12-30,19.12,31.05,Teutônia
2024-03-20,48.57,,Calingcing
2023-10-04,15.25,43.42,Cimanggu
2022-12-16,19.7,6.49,Karipidita
2022-10-03,38.87,14.55,Yanjiang
2024-09-22,0.64,37.76,Hengjie
2023-06-01,24.78,80.75,Espírito Santo do Pinhal
2022-11-05,3.09,,Suci Kaler
2023-02-23,32.83,56.94,Phultala
2023-03-11,53.41,21.92,Dayuan
2024-05-10,30.51,35.68,Balagui
2022-12-05,53.63,65.14,Yantak
2022-09-09,37.18,66.04,Palaiópyrgos
2024-10-30,27.74,,Denton
2024-07-30,,3.14,Cherven Bryag
2023-07-03,20.12,,Araçatuba
2024-07-06,33.6,17.79,Coihaique
2024-10-13,,,Morelos
2024-10-06,4.32,12.99,Tuchoměřice
2022-08-11,36.73,8.51,Moya
2023-09-04,58.01,76.1,Héroumbili
2023-09-15,13.97,96.24,Velké Pavlovice
2022-09-24,57.66,40.6,Altanbulag
2024-03-18,,,Bromma
2024-07-11,,,Timbuktu
2023-07-02,52.06,66.27,Dazhan
2023-11-25,7.1,66.11,Ningxi
2024-09-12,23.34,45.24,Thị Trấn Nước Hai
2023-03-30,2.32,75.93,Geta
2023-06-13,0.74,56.2,Utrecht (stad)
2024-04-01,50.09,66.55,Mojorembun
2023-12-24,9.75,88.54,Iwase
2024-10-02,50.47,97.9,Kafarati
2022-10-29,33.74,,Fengle
2022-12-02,27.33,23.05,Zall-Herr
2024-08-03,35.53,19.33,Aguadulce
2023-12-30,41.68,36.2,Zhexiao
2022-03-04,14.93,22.23,La Lima
2022-10-30,56.58,34.75,Huangtu
2023-09-24,16.96,69.19,Jargalant
2022-06-29,22.21,85.34,Višňova
2022-08-19,46.27,41.91,Kalian
2024-08-06,3.65,20.51,Tiwi
2022-10-31,27.65,18.43,Karafao
2023-03-24,48.45,,Huangqu
2024-06-27,14.11,30.88,Fundão
2024-05-26,0.17,66.67,London
2023-06-07,20.63,,Pliska
2022-03-22,,,Hikone
2023-08-14,40.56,76.83,Zhentou
2024-03-30,6.36,2.16,Shanghu
2023-01-13,51.44,53.03,Perho
2024-05-29,49.52,,Wilmington
2023-04-24,0.32,88.93,Porto Ferreira
2023-08-21,14.14,71.73,Sundre
2023-01-08,45.33,80.42,Huhe
2022-07-27,58.68,,Jiangdianzi
2024-08-17,54.12,,General Pinedo
2023-05-07,13.77,,Dubna
2022-05-18,3.33,63.8,Borås
2024-10-23,,43.12,Voorburg
2023-10-04,57.3,,Nagahama
2023-09-19,0.5,52.83,Masuda
2022-07-28,55.48,22.8,Carolina
2022-11-18,56.46,7.08,Gōdo
2022-04-04,44.99,80.13,Sacramento
2022-06-05,1.7,12.28,Songwon
2023-12-28,17.81,34.88,’Unābah
2023-09-07,39.58,71.56,Rizal
2023-10-17,30.31,32.2,Anahawan
2023-12-06,8.0,,Czarna
2022-06-28,51.63,,Dadong
2024-01-05,27.69,15.98,Guantánamo
2024-10-18,49.05,45.03,Jankomir
2024-07-10,57.56,,Nueve de Julio
2023-02-04,,44.89,Poncokusumo
2023-04-14,43.36,4.0,Huayuan
2023-11-06,,50.16,Cabadiangan
2023-01-18,59.59,2.28,Hisings Kärra
2022-06-15,55.65,48.68,Baolong
2022-09-06,,,Ongabelen
2024-08-17,27.59,33.8,Al Lagowa
2024-01-09,52.47,30.83,Juntang
2023-02-16,,,Muhos
2024-09-24,,75.18,Binjiang
2022-04-08,49.31,58.18,North Vancouver
2022-03-20,11.52,,La Esperanza
2022-05-09,17.91,53.48,Tartu
2024-07-28,3.13,47.97,Balpyk Bī
2024-08-04,38.51,89.72,Gongfang
2024-11-19,39.93,64.45,Val-d'Or
2022-07-19,,,Ōmachi
2023-04-01,48.57,43.94,Miguel Hidalgo
2022-11-04,59.15,,Tunggar
2024-08-03,13.98,48.36,Kamenka
2023-04-13,26.75,,Darwin
2024-06-18,39.19,73.54,Barubandung
2023-10-09,49.7,51.85,Aix-en-Provence
2022-07-04,31.93,65.17,Jayaraga Kaler
2024-08-29,33.17,63.03,Palocabildo
2022-05-11,49.42,61.97,Kumbo
2022-10-26,11.34,61.36,Guanshan
2022-08-15,32.43,53.55,Xiangying
2022-06-12,41.04,,Thanh Xuân
2022-10-10,7.57,91.35,Roubaix
2024-08-27,3.92,48.31,Rosebank
2022-09-26,29.83,73.66,Quitilipi
2023-02-10,38.54,98.68,Przasnysz
2024-08-25,9.35,93.83,Sines
2022-03-18,24.05,37.07,Goge
2023-09-07,58.73,12.23,Montpellier
2022-04-12,10.23,,Yangkou
2022-12-25,45.65,57.65,Ceerigaabo
2023-05-31,20.96,10.32,Tlogowungu
2022-11-10,18.81,33.38,Xiangang
2023-09-25,59.58,54.27,Siikajoki
2023-06-29,32.88,,Wensu
2024-05-21,35.63,74.8,Xingang
2024-06-25,9.16,21.96,Shuitai
2024-11-13,,33.82,Glondong
